,Feature name,Decision Tree,XGBoost
506,x4_F150,1.9246058304901283e-05,0.0
26,x3_DS Automobiles,1.8870310110845217e-05,0.0
861,x4_Range Rover Evoque,1.829596443108863e-05,0.0
630,x4_Juke,1.8186207873968217e-05,0.0
657,x4_Kodiaq,1.807722657804709e-05,0.0
645,x4_Karoq,1.7889909308868952e-05,0.0
175,x4_5008,1.7880935291827725e-05,0.0
1233,x10_Szwecja,1.7356440949667856e-05,0.0
587,x4_Grandland X,1.7225103775009516e-05,0.0
848,x4_REXTON,1.6872835685725102e-05,0.0
1232,x10_Szwajcaria,1.6835284356775906e-05,0.0
759,x4_Niro,1.6826283610679346e-05,0.0
553,x4_GT-R,1.6787793183206914e-05,0.0
21,x3_Chevrolet,1.676787343426489e-05,0.0
358,x4_Caddy,1.6523120548838474e-05,0.0
1066,x4_V90 Cross Country,1.650796924464405e-05,0.0
467,x4_EDGE,1.6319764601636363e-05,0.0
1061,x4_V60,1.6291342009924196e-05,0.0
970,x4_Sportage,1.6279815667078074e-05,0.0
566,x4_Ghibli,1.6221264770230713e-05,0.0
904,x4_SQ8,1.6131671593757493e-05,0.0
161,x4_3GT,1.5982876469187362e-05,0.0
463,x4_Durango,1.5977952181980638e-05,0.0
171,x4_488,1.5927389260090146e-05,0.0007606231823166041
629,x4_Journey,1.5842006675506758e-05,0.0
414,x4_Countryman,1.5683403341898426e-05,0.0
648,x4_Klasa B,1.538880740078535e-05,0.0
1023,x4_Tivoli,1.5036926481315843e-05,0.0
974,x4_Stelvio,1.4992104643754753e-05,0.0
1190,x8_Błękitny,1.460919544846351e-05,0.0
640,x4_Kamiq,1.4543049986157835e-05,0.0
805,x4_Prius,1.4349809107984748e-05,0.0
420,x4_Crossland X,1.423989075460001e-05,0.0
385,x4_Charger,1.4229074200165181e-05,0.0
741,x4_Mondeo,1.4036382188484686e-05,0.0
340,x4_CL,1.3796886748883215e-05,0.0
996,x4_TT,1.3740274916607363e-05,0.0
598,x4_Hilux,1.3659216974082023e-05,0.0
392,x4_Civic,1.3587771938809926e-05,0.0
82,x3_Subaru,1.3520405674134899e-05,0.0
1069,x4_Vantage,1.3498874784582271e-05,0.0
885,x4_S3,1.3445563733774403e-05,0.0
1216,x10_Holandia,1.3443467841477386e-05,0.0
57,x3_Maybach,1.3121953534359463e-05,0.0
141,x4_3,1.284240105894393e-05,0.0
711,x4_ML,1.283904447782659e-05,0.0
159,x4_356,1.2602296046103995e-05,0.0
55,x3_MINI,1.2581675909430017e-05,0.0
1129,x4_XT6,1.2504646838899369e-05,0.0
1224,x10_Luksemburg,1.2422326561510654e-05,0.0
740,x4_Mokka,1.2325413775351632e-05,0.0
549,x4_GLK,1.2225085608238903e-05,0.0
81,x3_SsangYong,1.202817122756708e-05,0.0
603,x4_ID.3,1.1794244105127556e-05,0.0
631,x4_Jumper,1.1784717971432367e-05,0.0
575,x4_GranTurismo,1.1325893311863932e-05,0.0
683,x4_Leon,1.1169078283396935e-05,0.0
988,x4_T-Cross,1.1154143457080721e-05,0.0
1146,x4_Z4 M,1.1126973954272295e-05,0.0
824,x4_Q50,1.109943442984019e-05,0.0
811,x4_Proace Verso,1.1091873844631894e-05,0.0
183,x4_6,1.1041907972717215e-05,0.0
568,x4_Giulia,1.0949567430499338e-05,0.0
900,x4_SLK,1.0810201255804497e-05,0.0
126,x4_2008,1.0443099671880331e-05,0.0
192,x4_718 Boxster,1.0205545953642171e-05,0.0
1102,x4_X2,1.0199036129975237e-05,0.0
882,x4_S-Max,1.0156662200662434e-05,0.0
408,x4_Corolla,1.0050939131671042e-05,0.0
452,x4_Delta,1.0045560865331429e-05,0.0
352,x4_CX-30,9.914321135083478e-06,0.0
34,x3_GMC,9.891068996209176e-06,0.0
222,x4_A4 Allroad,9.875933878132543e-06,0.0
1078,x4_Viano,9.823382346275689e-06,0.0
510,x4_F8 Tributo,9.793075103302013e-06,0.0
428,x4_D-Max,9.658410010585484e-06,0.0
750,x4_Mustang Mach-E,9.638106938282981e-06,0.0
1210,x10_Dania,9.580520877750103e-06,0.0
1145,x4_Z4,9.512171657529462e-06,0.0
664,x4_LC,9.466169437299942e-06,0.0
736,x4_Model 3,9.353364779202966e-06,0.0
658,x4_Koleos,9.240672711276783e-06,0.0
821,x4_Q4,9.165587712810609e-06,0.0
949,x4_Sharan,8.737037807536191e-06,0.0
602,x4_I30,8.72539089783707e-06,0.0
852,x4_RS3,8.665728014308381e-06,0.0
153,x4_308,8.609180795148124e-06,0.0
850,x4_RS Q3,8.599521965873386e-06,0.0
453,x4_Delta 88,8.560445238597912e-06,0.0
685,x4_Levante,8.421895103609153e-06,0.0
855,x4_RS6,8.381949035369034e-06,0.0
1028,x4_Touran,8.31990011212882e-06,0.0
1021,x4_Tipo,8.215033170474793e-06,0.0
546,x4_GLB,8.199630020474835e-06,0.0
83,x3_Suzuki,8.172595472034643e-06,0.0
1147,x4_Zafira,7.894434665123521e-06,0.0
880,x4_S 2000,7.802977474153442e-06,0.0
473,x4_EQV,7.762904762070763e-06,0.0
356,x4_CX-9,7.685639330411662e-06,0.0
729,x4_Megane,7.678061039515022e-06,0.0
1157,x4_i30 N,7.663121316197017e-06,0.0
1138,x4_Yaris,7.5544355155505115e-06,0.0
351,x4_CX-3,7.469045387518221e-06,0.0
241,x4_Alhambra,7.446187583652454e-06,0.0
277,x4_B10,7.151401657104062e-06,0.0
